observationId,dancerId,siteNo,hiveNo,sampY,sampM,sampD,sampT,waggleDuration,waggleLength,waggleOrientation,waggleDirection,pollenColor,pollenAbundance
1223,63978,1,8,2019,7,11,12,1.22,,1.598273152,0.512660801,,
965,21523,2,8,2019,5,15,13,1.93,,0.00735032,3.347795248,,
1225,55824,1,8,2019,7,11,12,1.13,,1.765811936,0.271388173,,
795,96332,1,8,2019,4,26,15,0.55,,0.884128008,2.76408267,,
1227,32438,1,8,2019,7,11,12,1.66,,2.198032683,-0.124788836,,
967,99714,2,8,2019,5,15,13,1.9,,0.051765025,3.317230463,,
1229,38982,1,8,2019,7,11,12,1.14,,1.765811936,0.271388173,,
1100,15574,1,8,2019,7,11,12,1.22,,2.158873177,-0.032367885,,
1231,81815,1,8,2019,7,11,12,1.5,,1.714192817,0.337236822,,
969,92338,2,8,2019,5,15,13,2.22,,0.442432161,2.940358877,,
1233,91242,1,8,2019,7,11,12,1.08,,1.765811936,0.278472334,,
797,17289,1,8,2019,4,26,15,1,,0.639060894,2.997964621,,
1235,92492,1,8,2019,7,11,12,1.21,,1.631966312,0.415883005,,
971,14473,2,8,2019,5,15,13,2.05,,0.120345852,3.262445211,,
1237,32463,1,8,2019,7,11,12,1.93,,1.040620998,1.010808587,,
1058,72362,1,8,2019,7,10,14,1.2,,0.861795602,2.397610188,,
1239,13411,1,8,2019,7,11,12,1.1,,1.771560316,0.283465177,,
973,27454,2,8,2019,5,15,13,1.9,,0.555921946,2.833745718,,
1241,27198,1,8,2019,7,11,12,0.75,,1.878776323,0.179860771,,
799,57726,1,8,2019,4,26,15,0.58,,-2.988468202,6.59155941,,
1243,25672,1,8,2019,7,11,12,1.3,,1.628310998,0.441256881,,
975,29555,2,8,2019,5,15,13,2.02,,0.524748671,2.823452473,,
1245,93992,1,8,2019,7,11,12,1.36,,2.290049631,-0.220481753,,
1102,15834,1,8,2019,7,11,12,1.2,,2.183220155,-0.040845152,,
1247,84897,1,8,2019,7,11,12,1.13,,2.909829861,-0.16987747,,
977,32136,2,8,2019,5,15,13,0.45,,1.655207621,1.566241741,,
1249,13458,1,8,2019,7,11,13,1.24,,2.970621364,-0.049725298,,
801,66737,1,8,2019,4,26,15,1.6,,0.864430542,2.721484184,,
1251,66897,1,8,2019,7,11,13,1.44,,-1.517756444,4.446156502,,
979,64865,2,8,2019,5,15,13,1.53,,-0.047578826,3.062531471,,
1253,31495,1,8,2019,7,11,13,1.29,,-0.634453827,3.577910423,,
1026,21922,1,8,2019,7,10,13,1.8,,-2.82847676,5.855352402,,
1255,76829,1,8,2019,7,11,13,1.28,,-1.509064251,4.460072517,,
981,73348,2,8,2019,5,15,13,2.65,,0.008974288,3.013049841,,
1257,82373,1,8,2019,7,11,13,0.92,,3.117274894,-0.143524155,,
803,37876,1,8,2019,4,26,15,0.55,,-3.102721956,6.665524006,,
1259,36175,1,8,2019,7,11,13,1.28,,3.117274894,-0.120662607,,
983,47713,2,8,2019,5,15,13,2,,-0.002207677,3.031310797,,
1261,74811,1,8,2019,7,11,13,1.6,,-2.994252259,6.021505833,,
1104,84492,1,8,2019,7,11,12,1.79,,3.075300836,-0.725558221,,
1263,24444,1,8,2019,7,11,13,2.25,,3.039816254,0.010516766,,
985,85475,2,8,2019,5,15,13,2.07,,0.29634477,2.732758284,,
1265,59687,1,8,2019,7,11,13,2.19,,3.138814011,-0.073056564,,
805,72969,1,8,2019,4,26,15,0.73,,-3.131122275,6.693924427,,
1267,72884,1,8,2019,7,11,13,1.26,,-3.062777453,6.167192936,,
987,19289,2,8,2019,5,15,13,2.42,,-0.00868609,3.044875145,,
1269,25598,1,8,2019,7,11,13,1.44,,-0.862127171,3.768066645,,
1060,63491,1,8,2019,7,10,14,1.65,,0.787404888,2.472001076,,
1271,37669,1,8,2019,7,11,13,0.25,,-1.588389493,4.399020672,,
989,39467,2,8,2019,5,15,13,2.2,,-0.10856772,3.158948421,,
1273,22336,1,8,2019,7,11,13,1.16,,3.051063351,-0.226005271,,
807,86151,1,8,2019,4,26,15,0.85,,0.639971832,2.911185265,,
1275,43423,1,8,2019,7,11,13,1.28,,-0.921737903,3.754043579,,
991,34794,2,8,2019,5,15,13,2.46,,-0.019045819,3.076531172,,
1277,78129,1,8,2019,7,11,13,1.09,,1.939554445,0.9146263,,
1106,17469,1,8,2019,7,11,12,1.62,,2.134420197,0.05321952,,
1279,33555,1,8,2019,7,11,13,1.02,,3.090596226,-0.236415505,,
993,11177,2,8,2019,5,15,13,2,,-0.002341402,3.07405138,,
1281,31741,1,8,2019,7,11,13,1.18,,-1.527091183,4.403336525,,
809,45964,1,8,2019,4,26,15,0.51,,-2.803462325,6.580786228,,
1283,26173,1,8,2019,7,11,13,1.08,,-0.744403162,3.620648384,,
995,84877,2,8,2019,5,15,13,1.82,,-0.157606553,3.229316473,,
1285,59635,1,8,2019,7,11,13,1.14,,-1.023821909,3.914876461,,
1038,65352,1,8,2019,7,10,13,2,,-0.207061619,3.112244368,,
